HomeTeam,AwayTeam,HomeGoalCount,AwayGoalCount,BTTS,OverUnder
Alfreton Town,Boston United,4,0,0,1
Banbury United,Warrington Town,3,0,0,1
Bishop's Stortford,Darlington,1,0,0,0
Chester,Blyth Spartans,2,1,1,1
Curzon Ashton,Chorley,0,1,0,0
Gloucester City,Farsley Celtic,0,1,0,0
King's Lynn Town,Southport,1,4,1,1
Scarborough Athletic,Brackley Town,2,1,1,1
Scunthorpe United,Buxton,0,0,0,0
South Shields FC,Rushall Olympic,2,0,0,0
Spennymoor Town,Hereford,2,0,0,0
Tamworth,Peterborough Sports,3,0,0,1
Braintree Town,Farnborough,1,1,1,0
Chippenham Town,Maidstone United,0,2,0,0
Dover Athletic,Weymouth,1,3,1,1
Havant & Waterlooville,Truro City,1,3,1,1
Slough Town,Aveley,2,0,0,0
St Albans City,Dartford,1,0,0,0
Tonbridge Angels,Taunton Town,0,3,0,1
Torquay United,Chelmsford City,2,1,1,1
Welling United,Bath City,0,1,0,0
Weston-super-Mare,Hampton & Richmond,1,1,1,0
Worthing,Hemel Hempstead Town,1,1,1,0
Yeovil Town,Eastbourne Borough,3,2,1,1
