HomeTeam,AwayTeam,HomeGoalCount,AwayGoalCount,BTTS,OverUnder
Laval,Sète,1,0,0,0
Orléans,Cholet,0,0,0,0
Sedan,Bourg-en-Bresse,0,2,0,0
Chambly,Le Mans,2,2,1,1
Villefranche,Stade Briochin,1,3,1,1
Boulogne,Créteil,0,0,0,0
Concarneau,Châteauroux,0,0,0,0
Bastia-Borgo,Villefranche,1,3,1,1
Sète,Concarneau,1,1,1,0
Cholet,Annecy,1,4,1,1
Stade Briochin,Sedan,2,0,0,0
Créteil,Chambly,2,0,0,0
Châteauroux,Boulogne,0,1,0,0
Le Mans,Red Star,1,1,1,0
Avranches,Orléans,1,2,1,1
Bourg-en-Bresse,Laval,1,2,1,1
Annecy,Avranches,4,1,1,1
Bastia-Borgo,Stade Briochin,2,1,1,1
Red Star,Créteil,1,1,1,0
Orléans,Le Mans,2,1,1,1
Chambly,Châteauroux,0,2,0,0
Villefranche,Cholet,3,2,1,1
Boulogne,Sète,1,0,0,0
Concarneau,Bourg-en-Bresse,1,1,1,0
Laval,Sedan,3,0,0,1
Boulogne,Bastia-Borgo,2,1,1,1
Sète,Chambly,1,1,1,0
Stade Briochin,Laval,2,2,1,1
Créteil,Orléans,0,1,0,0
Châteauroux,Red Star,4,2,1,1
Le Mans,Annecy,2,2,1,1
Avranches,Villefranche,1,1,1,0
Bourg-en-Bresse,Boulogne,3,1,1,1
Cholet,Bastia-Borgo,1,1,1,0
Sedan,Concarneau,2,2,1,1
Annecy,Créteil,1,0,0,0
Bastia-Borgo,Avranches,1,2,1,1
Red Star,Sète,0,3,0,1
Cholet,Stade Briochin,0,3,0,1
Orléans,Châteauroux,1,2,1,1
Chambly,Bourg-en-Bresse,2,1,1,1
Villefranche,Le Mans,1,0,0,0
Boulogne,Sedan,1,1,1,0
Concarneau,Laval,2,2,1,1
Bourg-en-Bresse,Red Star,0,2,0,0
Sète,Orléans,1,0,0,0
Stade Briochin,Concarneau,1,3,1,1
Créteil,Villefranche,0,2,0,0
Châteauroux,Annecy,0,1,0,0
Le Mans,Bastia-Borgo,0,1,0,0
Avranches,Cholet,0,2,0,0
Sedan,Chambly,1,0,0,0
Laval,Boulogne,1,0,0,0
Annecy,Sète,3,0,0,1
Bastia-Borgo,Créteil,2,0,0,0
Red Star,Sedan,0,1,0,0
Cholet,Le Mans,1,0,0,0
Orléans,Bourg-en-Bresse,0,0,0,0
Villefranche,Châteauroux,2,1,1,1
Avranches,Stade Briochin,2,5,1,1
Boulogne,Concarneau,1,0,0,0
Chambly,Laval,0,3,0,1
Bourg-en-Bresse,Annecy,3,0,0,1
Sète,Villefranche,0,1,0,0
Laval,Red Star,2,2,1,1
Créteil,Cholet,4,4,1,1
Châteauroux,Bastia-Borgo,0,0,0,0
Sedan,Orléans,1,0,0,0
Le Mans,Avranches,1,3,1,1
Boulogne,Stade Briochin,0,1,0,0
Concarneau,Chambly,4,0,0,1
Annecy,Sedan,2,0,0,0
Bastia-Borgo,Sète,1,2,1,1
Red Star,Concarneau,5,1,1,1
Cholet,Châteauroux,0,1,0,0
Stade Briochin,Le Mans,2,2,1,1
Orléans,Laval,3,2,1,1
Chambly,Boulogne,1,0,0,0
Villefranche,Bourg-en-Bresse,4,1,1,1
Avranches,Créteil,2,1,1,1
