HomeTeam,AwayTeam,HomeGoalCount,AwayGoalCount,BTTS,OverUnder
Mes Shahr-e Babak,Pars Jam Bushehr,0,0,0,0
Esteghlal Khuzestan,Esteghlal Mollasani,1,1,1,0
Shahrdari Hamedan,Mes Shahr-e Babak,1,0,0,0
Shahrdari Astara,Chadormalu SC,0,2,0,0
Kheybar Khorramabad,Saipa,0,0,0,0
Darya Babol,Van Pars Isfahan,1,1,1,0
Pars Jam Bushehr,Shams Azar Qazvin,0,1,0,0
Esteghlal Mollasani,Chooka Talesh,3,3,1,1
Fajr Sepasi,Esteghlal Khuzestan,1,1,1,0
Khooshe Talaee Saveh,Khalij Fars,1,0,0,0
Chadormalu SC,Fajr Sepasi,2,1,1,1
Chooka Talesh,Khooshe Talaee Saveh,2,0,0,0
Mes Shahr-e Babak,Kheybar Khorramabad,0,1,0,0
Van Pars Isfahan,Shahrdari Astara,2,0,0,0
Saipa,Pars Jam Bushehr,3,1,1,1
Shams Azar Qazvin,Esteghlal Mollasani,0,0,0,0
Khalij Fars,Arman Gohar,2,1,1,1
Esteghlal Khuzestan,Darya Babol,1,0,0,0
Mes Shahr-e Babak,Esteghlal Khuzestan,1,1,1,0
Fajr Sepasi,Saipa,1,0,0,0
Khooshe Talaee Saveh,Arman Gohar,0,1,0,0
Shahrdari Astara,Khalij Fars,2,2,1,1
Esteghlal Mollasani,Chadormalu SC,1,0,0,0
Pars Jam Bushehr,Chooka Talesh,2,1,1,1
Kheybar Khorramabad,Van Pars Isfahan,0,1,0,0
Shahrdari Hamedan,Shams Azar Qazvin,1,4,1,1
Saipa,Mes Shahr-e Babak,1,0,0,0
Shams Azar Qazvin,Fajr Sepasi,3,1,1,1
Chooka Talesh,Shahrdari Astara,3,0,0,1
Khalij Fars,Shahrdari Hamedan,1,0,0,0
Chadormalu SC,Darya Babol,0,0,0,0
Esteghlal Khuzestan,Kheybar Khorramabad,0,0,0,0
Van Pars Isfahan,Pars Jam Bushehr,0,0,0,0
Arman Gohar,Esteghlal Mollasani,2,0,0,0
Mes Shahr-e Babak,Van Pars Isfahan,2,0,0,0
Darya Babol,Khooshe Talaee Saveh,1,1,1,0
Saipa,Esteghlal Khuzestan,2,2,1,1
Kheybar Khorramabad,Chooka Talesh,2,0,0,0
Shahrdari Astara,Shams Azar Qazvin,0,0,0,0
Shahrdari Hamedan,Chadormalu SC,0,1,0,0
Pars Jam Bushehr,Khalij Fars,0,0,0,0
Fajr Sepasi,Arman Gohar,2,1,1,1
Shams Azar Qazvin,Mes Shahr-e Babak,3,0,0,1
Chadormalu SC,Kheybar Khorramabad,1,1,1,0
Van Pars Isfahan,Saipa,4,0,0,1
Khooshe Talaee Saveh,Esteghlal Mollasani,4,0,0,1
Chooka Talesh,Shahrdari Hamedan,2,2,1,1
Khalij Fars,Darya Babol,2,1,1,1
Esteghlal Khuzestan,Shahrdari Astara,1,0,0,0
Arman Gohar,Pars Jam Bushehr,3,2,1,1
Kheybar Khorramabad,Khalij Fars,3,1,1,1
Darya Babol,Esteghlal Mollasani,4,1,1,1
Van Pars Isfahan,Chadormalu SC,0,2,0,0
Saipa,Shams Azar Qazvin,2,1,1,1
Fajr Sepasi,Chooka Talesh,3,0,0,1
Shahrdari Hamedan,Khooshe Talaee Saveh,0,2,0,0
Shahrdari Astara,Arman Gohar,2,0,0,0
